,Title,Artist,Rating
24,Badlands,Halsey,3.0
34,A Sailor's Guide To Earth,Sturgill Simpson,5.0
37,Victory Lap,Nipsey Hussle,3.0
40,Houses Of The Holy,Led Zeppelin,5.0
41,Cuz I Love You,Lizzo,4.0
57,Blond,Frank Ocean,5.0
61,Loving In Stereo,Jungle (12),3.0
63,Pet Sounds,The Beach Boys,5.0
72,Hive Mind,The Internet (2),4.0
89,Igor,"Tyler, The Creator",5.0
90,Call Me If You Get Lost,"Tyler, The Creator",4.0
98,Cole World: The Sideline Story,J. Cole,3.0
99,The Score,Fugees,5.0
104,Africa Speaks,Santana,3.0
108,The Daptone Super Soul Revue Live! At The Apollo,Various,3.0
109,"When We All Fall Asleep, Where Do We Go?",Billie Eilish,4.0
110,Happier Than Ever,Billie Eilish,3.0
126,Revenge Of The Dreamers III,"Dreamville, J. Cole",4.0
128,The Off-Season,J. Cole,3.0
129,Shea Butter Baby,Ari Lennox,3.0
131,KOD,J. Cole,3.0
132,4 Your Eyez Only,J. Cole,5.0
133,Cleopatra,The Lumineers,4.0
149,Off The Wall,Michael Jackson,5.0
150,Thriller,Michael Jackson,4.0
154,Any Port In A Storm,The Dirty Heads,2.0
160,5,Sault,3.0
167,Daytona,Pusha T,5.0
168,"Awaken, My Love!",Childish Gambino,5.0
175,Purgatory,Tyler Childers,4.0
177,The Ballad Of Dood & Juanita,Sturgill Simpson,4.0
178,Metamodern Sounds In Country Music,Sturgill Simpson,4.0
185,"Good Kid, M.A.A.d City",Kendrick Lamar,4.0
194,Back To Black,Amy Winehouse,4.0
218,From A Room: Volume 1,Chris Stapleton,4.0
225,The Meters,The Meters,3.0
229,Obviously ,Lake Street Dive,3.0
230,Keep It Hid,Dan Auerbach,3.0
234,Side Pony,Lake Street Dive,4.0
237,"For Emma, Forever Ago",Bon Iver,4.0
238,Coloring Book,Chance The Rapper,4.0
239,The Big Day,Chance The Rapper,3.0
243,Malibu,Anderson .Paak,4.0
272,Folklore,Taylor Swift,4.0
274,Hollywood's Bleeding,Post Malone,3.0
275,Evermore,Taylor Swift,4.0
276,Isolation,Kali Uchis,3.0
277,Born Sinner,J. Cole,3.0
278,2014 Forest Hills Drive,J. Cole,4.0
296,Chasing Summer,SiR (12),3.0
305,Vince Staples,Vince Staples,3.0
306,Half About Being A Woman,Caroline Smith,3.0
314,Mama Said,Lenny Kravitz,3.0
332,Purple Rain,Prince And The Revolution,5.0
336,Swimming In Circles,Mac Miller,4.0
342,Blindfaller,Mandolin Orange,4.0
343,Tides Of A Teardrop,Mandolin Orange,4.0
0,Good Thing,Leon Bridges,3.0
1,The Miseducation Of Lauryn Hill,Lauryn Hill,5.0
3,From A Room: Volume 2,Chris Stapleton,4.0
4,Enter The Wu-Tang (36 Chambers),Wu-Tang Clan,5.0
5,Physical Graffiti,Led Zeppelin,5.0
