,Artist,Title,Song,time,date,day,year,month,listen
0,Stevie Wonder,Songs in the Key of Life,Village Ghetto Land,2021-10-22 21:31:00,2021-10-22,22,2021,10,1
1,Stevie Wonder,Songs in the Key of Life,Have a Talk with God,2021-10-22 21:28:00,2021-10-22,22,2021,10,1
2,Stevie Wonder,Songs in the Key of Life,Love's in Need of Love Today,2021-10-22 21:21:00,2021-10-22,22,2021,10,1
3,The Meters,Rejuvenation,Just Kissed My Baby,2021-10-22 21:18:00,2021-10-22,22,2021,10,1
4,Dr. John,In the Right Place,Cold Cold Cold,2021-10-22 21:15:00,2021-10-22,22,2021,10,1
5,Dr. John,In the Right Place,I Been Hoodood,2021-10-22 21:12:00,2021-10-22,22,2021,10,1
6,Dr. John,In the Right Place,Shoo Fly Marches On,2021-10-22 21:08:00,2021-10-22,22,2021,10,1
7,Dr. John,In the Right Place,Such A Night,2021-10-22 21:05:00,2021-10-22,22,2021,10,1
8,Dr. John,In the Right Place,LIfe,2021-10-22 21:03:00,2021-10-22,22,2021,10,1
9,Dr. John,In the Right Place,Peace Brother Peace,2021-10-22 21:00:00,2021-10-22,22,2021,10,1
10,Dr. John,In the Right Place,Traveling Mood,2021-10-22 20:57:00,2021-10-22,22,2021,10,1
11,Dr. John,In the Right Place,Qualified,2021-10-22 20:52:00,2021-10-22,22,2021,10,1
12,Dr. John,In the Right Place,Just the Same,2021-10-22 20:50:00,2021-10-22,22,2021,10,1
13,Dr. John,In the Right Place,Same Old Same Old,2021-10-22 20:47:00,2021-10-22,22,2021,10,1
14,Dr. John,In the Right Place,Right Place Wrong Time,2021-10-22 20:44:00,2021-10-22,22,2021,10,1
15,David Rawlings,Poor David's Almanack,Cumberland Gap,2021-10-22 20:43:00,2021-10-22,22,2021,10,1
16,David Rawlings,Poor David's Almanack,Money Is the Meat in the Coconut,2021-10-22 20:41:00,2021-10-22,22,2021,10,1
17,David Rawlings,Poor David's Almanack,Midnight Train,2021-10-22 20:38:00,2021-10-22,22,2021,10,1
18,Karen Dalton,In My Own Time,Something On Your Mind,2021-10-22 20:37:00,2021-10-22,22,2021,10,1
19,Whiskeytown,Faithless Street,Faithless Street,2021-10-22 20:36:00,2021-10-22,22,2021,10,1
20,Neko Case,The Worse Things Get the Harder I Fight the Harder I Fight the More I Love You (Deluxe Edition),Yon Ferrets Return,2021-10-22 20:34:00,2021-10-22,22,2021,10,1
21,Neko Case,The Worse Things Get the Harder I Fight the Harder I Fight the More I Love You (Deluxe Edition),Magpie to the Morning,2021-10-22 20:31:00,2021-10-22,22,2021,10,1
22,Neko Case,The Worse Things Get the Harder I Fight the Harder I Fight the More I Love You (Deluxe Edition),Madonna of the Wasps,2021-10-22 20:28:00,2021-10-22,22,2021,10,1
23,Neko Case,The Worse Things Get the Harder I Fight the Harder I Fight the More I Love You (Deluxe Edition),Ragtime,2021-10-22 20:22:00,2021-10-22,22,2021,10,1
24,Neko Case,The Worse Things Get the Harder I Fight the Harder I Fight the More I Love You (Deluxe Edition),Where Did I Leave That Fire,2021-10-22 20:19:00,2021-10-22,22,2021,10,1
25,Neko Case,The Worse Things Get the Harder I Fight the Harder I Fight the More I Love You (Deluxe Edition),Local Girl,2021-10-22 20:16:00,2021-10-22,22,2021,10,1
26,Neko Case,The Worse Things Get the Harder I Fight the Harder I Fight the More I Love You (Deluxe Edition),Afraid,2021-10-22 20:14:00,2021-10-22,22,2021,10,1
27,Neko Case,The Worse Things Get the Harder I Fight the Harder I Fight the More I Love You (Deluxe Edition),City Swans,2021-10-22 20:10:00,2021-10-22,22,2021,10,1
28,Neko Case,The Worse Things Get the Harder I Fight the Harder I Fight the More I Love You (Deluxe Edition),Calling Cards,2021-10-22 20:07:00,2021-10-22,22,2021,10,1
29,Neko Case,The Worse Things Get the Harder I Fight the Harder I Fight the More I Love You (Deluxe Edition),Nearly Midnight Honolulu,2021-10-22 20:04:00,2021-10-22,22,2021,10,1
30,Neko Case,The Worse Things Get the Harder I Fight the Harder I Fight the More I Love You (Deluxe Edition),Bracing for Sunday,2021-10-22 20:02:00,2021-10-22,22,2021,10,1
31,Neko Case,The Worse Things Get the Harder I Fight the Harder I Fight the More I Love You (Deluxe Edition),I'm From Nowhere,2021-10-22 19:59:00,2021-10-22,22,2021,10,1
32,Neko Case,The Worse Things Get the Harder I Fight the Harder I Fight the More I Love You (Deluxe Edition),Man,2021-10-22 19:56:00,2021-10-22,22,2021,10,1
33,Neko Case,The Worse Things Get the Harder I Fight the Harder I Fight the More I Love You (Deluxe Edition),Night Still Comes,2021-10-22 19:52:00,2021-10-22,22,2021,10,1
34,Neko Case,The Worse Things Get the Harder I Fight the Harder I Fight the More I Love You (Deluxe Edition),Wild Creatures,2021-10-22 19:49:00,2021-10-22,22,2021,10,1
35,Devendra Banhart,Rejoicing in the Hands,Todo Los Dolores,2021-10-22 19:45:00,2021-10-22,22,2021,10,1
36,Devendra Banhart,Rejoicing in the Hands,Fall,2021-10-22 19:42:00,2021-10-22,22,2021,10,1
37,Devendra Banhart,Rejoicing in the Hands,Rejoicing in the Hands,2021-10-22 19:41:00,2021-10-22,22,2021,10,1
38,Devendra Banhart,Rejoicing in the Hands,Tit Smoking in the Temple of Artesan Mimicry,2021-10-22 19:39:00,2021-10-22,22,2021,10,1
39,Devendra Banhart,Rejoicing in the Hands,See Saw,2021-10-22 19:36:00,2021-10-22,22,2021,10,1
40,Devendra Banhart,Rejoicing in the Hands,This Beard Is for Siobhan,2021-10-22 19:33:00,2021-10-22,22,2021,10,1
41,Devendra Banhart,Rejoicing in the Hands,Will Is My Friend,2021-10-22 19:30:00,2021-10-22,22,2021,10,1
42,Devendra Banhart,Rejoicing in the Hands,Dogs They Make Up the Dark,2021-10-22 19:29:00,2021-10-22,22,2021,10,1
43,Devendra Banhart,Rejoicing in the Hands,Poughkeepsie,2021-10-22 19:27:00,2021-10-22,22,2021,10,1
44,Devendra Banhart,Rejoicing in the Hands,The Body Breaks,2021-10-22 19:24:00,2021-10-22,22,2021,10,1
45,Devendra Banhart,Rejoicing in the Hands,A Sight to Behold,2021-10-22 19:22:00,2021-10-22,22,2021,10,1
46,Devendra Banhart,Rejoicing in the Hands,This is the Way,2021-10-22 19:19:00,2021-10-22,22,2021,10,1
47,The Internet,Hive Mind,Next Time / Humble Pie,2021-10-22 16:23:00,2021-10-22,22,2021,10,1
48,The Internet,Hive Mind,Mood,2021-10-22 16:20:00,2021-10-22,22,2021,10,1
49,The Internet,Hive Mind,Bravo,2021-10-22 16:17:00,2021-10-22,22,2021,10,1
50,The Internet,Hive Mind,Stay The Night,2021-10-22 16:16:00,2021-10-22,22,2021,10,1
51,The Internet,Hive Mind,Stay The Night,2021-10-22 16:05:00,2021-10-22,22,2021,10,1
52,The Internet,Hive Mind,La Di Da,2021-10-22 16:01:00,2021-10-22,22,2021,10,1
53,The Internet,Hive Mind,Come Over,2021-10-22 15:56:00,2021-10-22,22,2021,10,1
54,The Internet,Hive Mind,Roll (Burbank Funk),2021-10-22 15:53:00,2021-10-22,22,2021,10,1
55,The Internet,Hive Mind,Come Together,2021-10-22 15:49:00,2021-10-22,22,2021,10,1
56,Childish Gambino,Because the Internet,3005,2021-10-22 15:48:00,2021-10-22,22,2021,10,1
57,Kali Uchis,Isolation,Killer,2021-10-22 15:45:00,2021-10-22,22,2021,10,1
58,Kali Uchis,Isolation,Feel Like a Fool,2021-10-22 15:42:00,2021-10-22,22,2021,10,1
59,Kali Uchis,Isolation,After the Storm (feat. Tyler the Creator & Bootsy Collins),2021-10-22 15:39:00,2021-10-22,22,2021,10,1
60,Kali Uchis,Isolation,Coming Home (Interlude),2021-10-22 15:36:00,2021-10-22,22,2021,10,1
61,Kali Uchis,Isolation,Tomorrow,2021-10-22 15:33:00,2021-10-22,22,2021,10,1
62,Kali Uchis,Isolation,Gotta Get Up (Interlude),2021-10-22 15:31:00,2021-10-22,22,2021,10,1
63,Kali Uchis,Isolation,In My Dreams,2021-10-22 15:31:00,2021-10-22,22,2021,10,1
64,Kali Uchis,Isolation,Nuestro Planeta (feat. Reykon),2021-10-22 15:27:00,2021-10-22,22,2021,10,1
65,Kali Uchis,Isolation,Dead to Me,2021-10-22 15:24:00,2021-10-22,22,2021,10,1
66,Kali Uchis,Isolation,Tyrant (feat. Jorja Smith),2021-10-22 15:20:00,2021-10-22,22,2021,10,1
67,Kali Uchis,Isolation,Your Teeth in My Neck,2021-10-22 15:17:00,2021-10-22,22,2021,10,1
68,Kali Uchis,Isolation,Flight 22,2021-10-22 15:14:00,2021-10-22,22,2021,10,1
69,Kali Uchis,Isolation,Just a Stranger (feat. Steve Lacy),2021-10-22 15:11:00,2021-10-22,22,2021,10,1
70,Kali Uchis,Isolation,Miami (feat. BIA),2021-10-22 15:07:00,2021-10-22,22,2021,10,1
71,Kali Uchis,Isolation,Body Language (Intro),2021-10-22 15:04:00,2021-10-22,22,2021,10,1
72,Frank Ocean,channel ORANGE,Monks,2021-10-21 19:07:00,2021-10-21,21,2021,10,1
73,Frank Ocean,channel ORANGE,White (feat. John Mayer),2021-10-21 19:06:00,2021-10-21,21,2021,10,1
74,Frank Ocean,channel ORANGE,Lost,2021-10-21 19:02:00,2021-10-21,21,2021,10,1
75,Frank Ocean,channel ORANGE,Pyramids,2021-10-21 18:52:00,2021-10-21,21,2021,10,1
76,Frank Ocean,channel ORANGE,Crack Rock,2021-10-21 18:49:00,2021-10-21,21,2021,10,1
77,Frank Ocean,channel ORANGE,Pilot Jones,2021-10-21 18:45:00,2021-10-21,21,2021,10,1
78,Frank Ocean,channel ORANGE,Super Rich Kids (feat. Earl Sweatshirt),2021-10-21 18:40:00,2021-10-21,21,2021,10,1
79,Frank Ocean,channel ORANGE,Not Just Money,2021-10-21 18:39:00,2021-10-21,21,2021,10,1
80,Frank Ocean,channel ORANGE,Sweet Life,2021-10-21 18:35:00,2021-10-21,21,2021,10,1
81,Frank Ocean,channel ORANGE,Sierra Leone,2021-10-21 18:33:00,2021-10-21,21,2021,10,1
82,Frank Ocean,channel ORANGE,Fertilizer,2021-10-21 18:32:00,2021-10-21,21,2021,10,1
83,Frank Ocean,channel ORANGE,Thinkin Bout You,2021-10-21 18:29:00,2021-10-21,21,2021,10,1
84,Frank Ocean,channel ORANGE,Start,2021-10-21 18:28:00,2021-10-21,21,2021,10,1
85,Sir,Chasing Summer,The Recipe,2021-10-21 16:33:00,2021-10-21,21,2021,10,1
86,Sir,Chasing Summer,Mood (feat. Zacari),2021-10-21 16:30:00,2021-10-21,21,2021,10,1
87,Sir,Chasing Summer,Still Blue (feat. Jill Scott),2021-10-21 16:29:00,2021-10-21,21,2021,10,1
88,Sir,Chasing Summer,Wires In The Way,2021-10-21 16:27:00,2021-10-21,21,2021,10,1
89,Sir,Chasing Summer,Touch Down,2021-10-21 16:24:00,2021-10-21,21,2021,10,1
90,Sir,Chasing Summer,That's Why I Love You (feat. Sabrina Claudio),2021-10-21 16:20:00,2021-10-21,21,2021,10,1
91,Sir,Chasing Summer,Lucy's Love (feat. Lil Wayne),2021-10-21 16:17:00,2021-10-21,21,2021,10,1
92,Sir,Chasing Summer,New Sky (feat. Kadhja Bonet),2021-10-21 16:13:00,2021-10-21,21,2021,10,1
93,Sir,Chasing Summer,Fire,2021-10-21 16:11:00,2021-10-21,21,2021,10,1
94,Sir,Chasing Summer,La Lisa (feat. Smino),2021-10-21 16:07:00,2021-10-21,21,2021,10,1
95,Sir,Chasing Summer,You Can't Save Me,2021-10-21 16:04:00,2021-10-21,21,2021,10,1
96,Sir,Chasing Summer,John Redcorn,2021-10-21 16:01:00,2021-10-21,21,2021,10,1
97,Sir,Chasing Summer,Hair Down (feat. Kendrick Lamar),2021-10-21 15:57:00,2021-10-21,21,2021,10,1
98,CANDYCHYLD,BLUE - EP,PROMISE,2021-10-21 15:55:00,2021-10-21,21,2021,10,1
99,BLK ODYSSY,BLK VINTAGE,DRINKING GOOD,2021-10-21 15:50:00,2021-10-21,21,2021,10,1
100,BLK ODYSSY,BLK VINTAGE,BLK REVOLUTION,2021-10-21 15:48:00,2021-10-21,21,2021,10,1
101,BLK ODYSSY,BLK VINTAGE,GHOST RIDE,2021-10-21 15:46:00,2021-10-21,21,2021,10,1
102,BLK ODYSSY,BLK VINTAGE,MURDA,2021-10-21 15:43:00,2021-10-21,21,2021,10,1
103,BLK ODYSSY,BLK VINTAGE,YA NO PODÍA SALIR,2021-10-21 15:39:00,2021-10-21,21,2021,10,1
104,BLK ODYSSY,BLK VINTAGE,BIG BAD WOLF/SOBER,2021-10-21 15:34:00,2021-10-21,21,2021,10,1
105,BLK ODYSSY,BLK VINTAGE,HANG LOW (feat. James Robinson),2021-10-21 15:32:00,2021-10-21,21,2021,10,1
106,BLK ODYSSY,BLK VINTAGE,NINETEEN EIGHTY,2021-10-21 15:29:00,2021-10-21,21,2021,10,1
107,BLK ODYSSY,BLK VINTAGE,FUNKENTOLOGY,2021-10-21 15:27:00,2021-10-21,21,2021,10,1
108,BLK ODYSSY,BLK VINTAGE,BLK VINTAGE (INTRO),2021-10-21 15:24:00,2021-10-21,21,2021,10,1
109,Summer Walker & NO1-NOAH,Life On Earth - EP,White Tee,2021-10-21 15:23:00,2021-10-21,21,2021,10,1
110,SZA,Ctrl,20 Something,2021-10-21 15:20:00,2021-10-21,21,2021,10,1
111,SZA,Ctrl,Pretty Little Birds (feat. Isaiah Rashad),2021-10-21 15:16:00,2021-10-21,21,2021,10,1
112,SZA,Ctrl,Normal Girl,2021-10-21 15:15:00,2021-10-21,21,2021,10,1
113,SZA,Ctrl,Normal Girl,2021-10-21 14:54:00,2021-10-21,21,2021,10,1
114,SZA,Ctrl,Wavy (Interlude) [feat. James Fauntleroy],2021-10-21 14:53:00,2021-10-21,21,2021,10,1
115,SZA,Ctrl,Anything,2021-10-21 14:51:00,2021-10-21,21,2021,10,1
116,SZA,Ctrl,Broken Clocks,2021-10-21 14:47:00,2021-10-21,21,2021,10,1
117,SZA,Ctrl,Garden (Say It Like Dat),2021-10-21 14:43:00,2021-10-21,21,2021,10,1
118,SZA,Ctrl,Go Gina,2021-10-21 14:40:00,2021-10-21,21,2021,10,1
119,SZA,Ctrl,The Weekend,2021-10-21 14:36:00,2021-10-21,21,2021,10,1
120,SZA,Ctrl,Prom,2021-10-21 14:33:00,2021-10-21,21,2021,10,1
121,SZA,Ctrl,Drew Barrymore,2021-10-21 14:29:00,2021-10-21,21,2021,10,1
