,month,day,Artist,Title,listen
1,1,11,Santana,Africa Speaks,12
3,1,14,Frank Ocean,Blonde,8
4,1,17,Anderson .Paak,Malibu,18
7,1,17,Childish Gambino,Awaken My Love!,12
10,1,17,Santana,Africa Speaks,8
14,1,18,Caroline Smith,Half About Being a Woman,11
18,1,18,Santana,Blessings and Miracles,8
20,1,18,Valerie June,The Moon And Stars: Prescriptions For Dreamers,15
22,1,19,BLK ODYSSY,BLK VINTAGE,11
25,1,19,Curtis Harding,If Words Were Flowers,10
26,1,19,Jess Glynne,I Cry When I Laugh,10
27,1,19,Joss Stone,The Soul Sessions,10
30,1,20,Mac Miller,Circles (Deluxe),14
31,1,20,Mac Miller,Swimming,15
37,1,25,Dinner Party Terrace Martin Robert Glasper 9th Wonder & Kamasi Washington,Dinner Party,8
38,1,25,Dinner Party Terrace Martin Robert Glasper 9th Wonder & Kamasi Washington,Dinner Party: Dessert,7
40,1,25,J. Cole,4 Your Eyez Only,13
41,1,25,Jon Batiste,WE ARE,14
43,1,25,Sault,7,10
46,1,26,Chance the Rapper,Coloring Book,16
47,1,26,Chance the Rapper,The Big Day,20
48,1,26,Dinner Party Terrace Martin Robert Glasper 9th Wonder & Kamasi Washington,Dinner Party,7
51,1,26,J. Cole,KOD,13
54,1,26,Miguel,Wildheart (Deluxe),4
56,1,27,Miguel,Wildheart (Deluxe),13
57,1,27,Valerie June,The Moon And Stars: Prescriptions For Dreamers,12
58,1,28,Chance the Rapper,The Big Day,22
59,1,28,Miguel,Wildheart (Deluxe),13
60,1,31,Amy Winehouse,Back to Black,11
61,1,31,Dinner Party Terrace Martin Robert Glasper 9th Wonder & Kamasi Washington,Dinner Party,7
65,1,31,Miguel,Wildheart (Deluxe),4
68,2,1,John Mayer,Continuum,13
69,2,1,John Mayer,Heavier Things,11
70,2,1,John Mayer,Room for Squares,7
71,2,2,John Mayer,Room for Squares,6
72,2,10,Taylor Swift,folklore,5
79,2,15,Dinner Party Terrace Martin Robert Glasper 9th Wonder & Kamasi Washington,Dinner Party,8
84,2,15,Miguel,Wildheart (Deluxe),16
89,2,15,Sir,Chasing Summer,14
92,2,15,UB40,Labour of Love II,10
100,2,17,The Internet,Hive Mind,14
101,2,18,Genesis Owusu,Smiling with No Teeth,6
104,2,21,Chris Stapleton,Starting Over,7
105,2,21,Sturgill Simpson,Cuttin' Grass Vol. 2 (Cowboy Arms Sessions),12
107,2,22,Chris Stapleton,From A Room: Volume 1,9
108,2,22,Chris Stapleton,From A Room: Volume 2,9
109,2,22,Chris Stapleton,Starting Over,8
110,2,22,Chris Stapleton,Traveller,8
113,2,23,Tyler Childers,Purgatory,10
114,2,25,Tyler Childers,Country Squire,8
118,3,3,Dinner Party Terrace Martin Robert Glasper 9th Wonder & Kamasi Washington,Dinner Party,8
123,3,3,Kali Uchis,Isolation,16
126,3,3,SZA,Ctrl,13
128,3,3,Sir,Chasing Summer,14
131,3,3,The Internet,Hive Mind,13
135,3,4,Miguel,Wildheart (Deluxe),12
138,3,6,Curtis Harding,Face Your Fear,11
139,3,6,The James Hunter Six,Hold On!,6
146,3,9,The James Hunter Six,Hold On!,10
147,3,10,Dinner Party Terrace Martin Robert Glasper 9th Wonder & Kamasi Washington,Dinner Party,7
150,3,11,Miles Davis,Kind of Blue,6
151,3,15,Miguel,Wildheart (Deluxe),11
152,3,16,Ayra Starr,19 & Dangerous,11
155,3,16,Wizkid,Ayo,15
157,3,25,BLK ODYSSY,BLK VINTAGE,10
161,3,25,Mac Miller,Swimming,7
162,3,25,Tyler The Creator,CALL ME IF YOU GET LOST,15
164,3,29,Childish Gambino,3.15.20,12
165,3,29,Childish Gambino,Awaken My Love!,12
167,3,31,Childish Gambino,Because the Internet,5
168,3,31,Childish Gambino,Kauai,9
169,4,1,Black Pumas,Black Pumas (Expanded Deluxe Edition),6
171,4,4,The Internet,Hive Mind,13
