,month,day,Artist,Title,listen
0,4,13,Adele,30,23
2,4,13,Big Thief,Two Hands,7
3,4,13,Childish Gambino,Awaken My Love!,29
4,4,13,Curtis Harding,If Words Were Flowers,18
12,4,14,Bon Iver,For Emma Forever Ago,9
17,4,14,Laura Marling,Song For Our Daughter,14
18,4,14,Nick Drake,Pink Moon,8
19,4,14,Sault,Air,7
20,4,14,Sault,UNTITLED (Rise),10
22,4,14,The Lumineers,Cleopatra (Deluxe),13
24,4,14,UB40,Labour of Love II,14
25,4,14,Whitney Houston,Whitney,7
26,4,15,Sault,UNTITLED (Rise),19
27,4,16,Sault,Untitled (Black Is),5
31,4,18,Florence + the Machine,Lungs (Deluxe Edition),26
32,4,18,Sault,7,10
47,4,19,The Black Keys,Brothers (Deluxe Remastered Anniversary Edition),17
48,4,19,Vince Staples,Ramona Park Broke My Heart,9
53,4,20,Dan Auerbach,Keep It Hid,6
54,4,20,Jazmine Sullivan,Heaux Tales Mo' Tales: The Deluxe,10
57,4,20,Vince Staples,FM!,9
58,4,20,Vince Staples,Vince Staples,9
